Year,Team1,Team2,Winner,WinnerPlayedLastGameAtHome,SameCountry,ScoreDiffFirstMatch,ScoreDiffSecondMatch,ScoreDiff,WinningType,DecidedPenalty,DecidedGoalAwayRule,Phase,Competition
2022,Athletico Paranaense,Libertad,1,False,False,1,0,1,NORM,False,False,RoundOf16,Libertadores
2022,Deportes Tolima,Flamengo,2,True,False,-1,-6,-7,NORM,False,False,RoundOf16,Libertadores
2022,Vélez Sarsfield,River Plate,1,False,True,1,0,1,NORM,False,False,RoundOf16,Libertadores
2022,Emelec,Atlético Mineiro,2,True,False,0,-1,-1,NORM,False,False,RoundOf16,Libertadores
2022,Talleres,Colón,1,False,True,0,2,2,NORM,False,False,RoundOf16,Libertadores
2022,Corinthians,Boca Juniors,1,False,False,0,0,0,PENA,True,False,RoundOf16,Libertadores
2022,Fortaleza,Estudiantes,2,True,False,0,-3,-3,NORM,False,False,RoundOf16,Libertadores
2021,Defensa y Justicia,Flamengo,2,True,False,-1,-3,-4,NORM,False,False,RoundOf16,Libertadores
2021,Boca Juniors,Atlético Mineiro,2,True,False,0,0,0,PENA,True,False,RoundOf16,Libertadores
2021,Universidad Católica,Palmeiras,2,True,False,-1,-1,-2,NORM,False,False,RoundOf16,Libertadores
2021,Cerro Porteño,Fluminense,2,True,False,-2,-1,-3,NORM,False,False,RoundOf16,Libertadores
2021,Vélez Sarsfield,Barcelona de Guayaquil,2,True,False,1,-2,-1,NORM,False,False,RoundOf16,Libertadores
2021,São Paulo,Racing,1,False,False,0,2,2,NORM,False,False,RoundOf16,Libertadores
2021,River Plate,Argentinos Juniors,1,False,True,0,2,2,NORM,False,False,RoundOf16,Libertadores
2021,Olimpia,Internacional,1,False,False,0,0,0,PENA,True,False,RoundOf16,Libertadores
2020,Guaraní,Grêmio,2,True,False,-2,-2,-4,NORM,False,False,RoundOf16,Libertadores
2020,Independiente del Valle,Nacional,2,True,False,0,0,0,PENA,True,False,RoundOf16,Libertadores
2020,Delfín,Palmeiras,2,True,False,-2,-5,-7,NORM,False,False,RoundOf16,Libertadores
2020,Internacional,Boca Juniors,2,True,False,-1,1,0,PENA,True,False,RoundOf16,Libertadores
2020,Racing,Flamengo,1,False,False,0,0,0,PENA,True,False,RoundOf16,Libertadores
2020,Libertad,Jorge Wilstermann,1,False,False,2,2,4,NORM,False,False,RoundOf16,Libertadores
2020,Athletico Paranaense,River Plate,2,True,False,0,-1,-1,NORM,False,False,RoundOf16,Libertadores
2020,LDU Quito,Santos,2,True,False,-1,1,0,GAAT,False,True,RoundOf16,Libertadores
