Year,Team1,FullScore,Penaltis,VisitantAdvantage,Team2,FirstMatch,SecondMatch,Anomaly
2022,Athletico Paranaense,3–2,,,Libertad,2–1,1–1,0
2022,Deportes Tolima,1–8,,,Flamengo,0–1,1–7,0
2022,Vélez Sarsfield,1–0,,,River Plate,1–0,0–0,0
2022,Emelec,1–2,,,Atlético Mineiro,1–1,0–1,0
2022,Cerro Porteño,0–8,,,Palmeiras,0–3,0–5,0
2022,Talleres,3–1,,,Colón,1–1,2–0,0
2022,Corinthians,0–0,6–5,,Boca Juniors,0–0,0–0,0
2022,Fortaleza,1–4,,,Estudiantes,1–1,0–3,0
2021,Defensa y Justicia,1–5,,,Flamengo,0–1,1–4,0
2021,Boca Juniors,0–0,1–3,,Atlético Mineiro,0–0,0–0,0
2021,Universidad Católica,0–2,,,Palmeiras,0–1,0–1,0
2021,Cerro Porteño,0–3,,,Fluminense,0–2,0–1,0
2021,Vélez Sarsfield,2–3,,,Barcelona de Guayaquil,1–0,1–3,0
2021,São Paulo,4–2,,,Racing,1–1,3–1,0
2021,River Plate,3–1,,,Argentinos Juniors,1–1,2–0,0
2021,Olimpia,0–0,5–4,,Internacional,0–0,0–0,0
2020,Guaraní,0–4,,,Grêmio,0–2,0–2,0
2020,Independiente del Valle,0–0,2–4,,Nacional,0–0,0–0,0
2020,Delfín,1–8,,,Palmeiras,1–3,0–5,0
2020,Internacional,1–1,4–5,,Boca Juniors,0–1,1–0,0
2020,Racing,2–2,5–3,,Flamengo,1–1,1–1,0
2020,Libertad,5–1,,,Jorge Wilstermann,3–1,2–0,0
2020,Athletico Paranaense,1–2,,,River Plate,1–1,0–1,0
2020,LDU Quito,2–2,,0–1,Santos,1–2,1–0,0
2019,River Plate,0–0,4–2,,Cruzeiro,0–0,0–0,0
2019,Godoy Cruz,2–6,,,Palmeiras,2–2,0–4,0
2019,Emelec,2–2,2–4,,Flamengo,2–0,0–2,0
2019,LDU Quito,4–2,,,Olimpia,3–1,1–1,0
2019,Athletico Paranaense,0–3,,,Boca Juniors,0–1,0–2,0
2019,Nacional,0–3,,,Internacional,0–1,0–2,0
2019,Grêmio,5–0,,,Libertad,2–0,3–0,0
2019,San Lorenzo,1–2,,,Cerro Porteño,0–0,1–2,0
2018,Racing,0–3,,,River Plate,0–0,0–3,0
2018,Colo-Colo,2–2,,1–0,Corinthians,1–0,1–2,0
2018,Flamengo,1–2,,,Cruzeiro,0–2,1–0,0
2018,Estudiantes,3–3,3–5,,Grêmio,2–1,1–2,0
2018,Atlético Tucumán,2–1,,,Atlético Nacional,2–0,0–1,0
2018,Boca Juniors,6–2,,,Libertad,2–0,4–2,0
2018,Cerro Porteño,1–2,,,Palmeiras,0–2,1–0,0
2018,Independiente,3–0,,,Santos,3–0,0–0,1
2017,Guaraní,1–3,,,River Plate,0–2,1–1,0
2017,Atlético Paranaense,2–4,,,Santos,2–3,0–1,0
2017,Nacional,0–3,,,Botafogo,0–1,0–2,0
2017,Emelec,1–1,4–5,,San Lorenzo,0–1,1–0,0
2017,The Strongest,1–2,,,Lanús,1–1,0–1,0
2017,Godoy Cruz,1–3,,,Grêmio,0–1,1–2,0
2017,Barcelona,1–1,5–4,,Palmeiras,1–0,0–1,0
2017,Jorge Wilstermann,1–0,,,Atlético Mineiro,1–0,0–0,0
2016,Huracán,2–4,,,Atlético Nacional,0–0,2–4,0
2016,Deportivo Táchira,1–2,,,UNAM,1–0,0–2,0
2016,Nacional,2–2,,1–0,Corinthians,0–0,2–2,0
2016,Racing,1–2,,,Atlético Mineiro,0–0,1–2,0
2016,São Paulo,5–3,,,Toluca,4–0,1–3,0
2016,Cerro Porteño,2–5,,,Boca Juniors,1–2,1–3,0
2016,Independiente del Valle,2–1,,,River Plate,2–0,0–1,0
2016,Grêmio,0–4,,,Rosario Central,0–1,0–3,0
2015,River Plate,1–0,,,Boca Juniors,1–0,0–0 (susp.),1
2015,Universitario de Sucre,2–3,,,UANL,1–2,1–1,0
2015,Atlético Mineiro,3–5,,,Internacional,2–2,1–3,0
2015,Guaraní,3–0,,,Corinthians,2–0,1–0,0
2015,Montevideo Wanderers,2–3,,,Racing,1–1,1–2,0
2015,Estudiantes,2–3,,,Santa Fe,2–1,0–2,0
2015,Emelec,2–1,,,Atlético Nacional,2–0,0–1,0
2015,São Paulo,1–1,3–4,,Cruzeiro,1–0,0–1,0
